site	parsimony_score
488	1
494	2
495	1
499	1
508	1
533	1
544	1
546	3
560	2
566	3
571	2
593	5
597	3
633	1
656	2
681	1
682	2
692	8
696	3
707	1
710	1
716	7
744	1
747	1
749	2
756	15
758	5
831	5
860	4
880	1
894	1
895	1
911	3
914	3
924	23
943	1
950	2
955	5
995	3
998	1
1007	1
1013	1
1046	4
1058	1
1062	4
1067	3
1085	5
1088	1
1089	2
1090	2
1106	36
1147	4
1169	2
1183	4
1193	1
1194	1
1198	6
1199	3
1202	2
1211	2
1219	7
1257	2
1292	1
1304	2
1305	1
1308	1
1316	3
1325	5
1338	1
1340	6
1347	2
1357	4
1365	2
1370	1
1373	1
1380	1
1397	1
1427	1
1475	1
1481	2
1491	13
1529	9
1544	1
1550	1
1608	2
1631	1
1645	1
1664	1
1671	1
1680	1
1694	8
1697	4
1718	1
1736	1
1807	1
1808	1
1817	1
1847	1
1851	1
1862	1
1876	1
1884	1
1907	3
1911	2
1913	1
1914	1
1968	1
1973	1
2006	1
2015	1
2084	4
2091	739
2093	17
2094	12
2096	1
2128	3
2135	1
2150	1
2186	1
2264	1
2277	4
2328	4
2330	3
2331	1
2377	2
2415	3
2429	2
2456	3
2460	3
2474	5
2523	1
2537	5
2554	8
2561	25
2562	2
2576	1
2588	2
2634	1
2700	1
2738	3
2771	1
2792	2
2810	3
2860	1
2891	8
2894	5
2900	3
2933	2
2968	3
2975	1
2977	2
3022	1
3036	5
3037	1
3040	2
3072	4
3098	2
3113	1
3117	1
3130	3
3133	2
3143	17
3153	1
3159	1
3161	4
3171	7
3173	10
3180	1
3195	1
3196	1
3206	1
3218	6
3248	3
3254	1
3270	1
3278	2
3329	1
3332	1
3371	2
3377	4
3398	1
3416	8
3422	1
3430	1
3499	1
3500	30
3518	2
3557	8
3572	7
3581	10
3616	1
3632	9
3649	19
3716	5
3745	1
3747	2
3773	1
3794	2
3858	1
3905	78
3926	1
3929	2
3962	2
3964	1
3995	1
4006	6
4018	2
4022	1
4028	9
4038	8
4040	1
4118	1
4145	7
4163	1
4187	1
4211	7
4238	2
4265	2
4289	7
4328	12
4352	1
4361	14
4391	2
4430	1
4436	1
4454	1
4484	2
4491	2
4499	11
4514	10
4526	8
4550	17
4552	10
4572	2
4595	3
4598	1
4613	9
4622	6
4625	1
4630	4
4667	6
4673	9
4733	1
4739	1
4746	5
4808	1
4848	1
4851	6
4891	7
4936	6
4961	74
4969	77
4976	1
4999	11
5017	2
5027	1
5028	7
5065	1
5066	25
5077	2
5083	1
5099	14
5105	1
5106	19
5174	1
5186	1
5201	1
5208	37
5210	2
5214	3
5231	1
5232	1
5236	1
5240	1
5242	1
5254	1
5263	1
5264	2
5268	1
5277	2
5283	4
5288	1
5292	16
5296	1
5302	1
5307	101
5308	2
5312	1
5314	1
5327	2
5333	3
5339	1
5343	1
5345	1
5353	1
5356	1
5374	1
5399	1
5400	2
5404	3
5421	2
5435	2
5452	1
5455	2
5465	2
5470	1
5477	2
5480	1
5482	2
5491	1
5496	3
5497	1
5503	3
5508	6
5519	3
5525	1
5527	2
5529	1
5535	1
5545	3
5551	2
5552	2
5558	3
5559	1
5572	36
5574	58
5576	7
5580	4
5584	1
5598	1
5617	6
5621	3
5643	4
5653	2
5659	33
5674	2
5688	2
5718	1
5859	1
5868	1
5874	2
5877	3
5880	3
5904	2
5907	2
5912	2
5913	2
5914	2
5919	2
5931	2
5948	2
5949	2
5964	1
5973	2
5994	1
6007	36
6018	2
6057	1
6086	1
6087	1
6090	1
6108	1
6129	2
6132	1
6171	2
6177	1
6180	2
6198	1
6201	2
6211	1
6219	5
6247	2
6251	43
6252	1
6256	1
6264	1
6294	1
6324	1
6327	1
6344	1
6357	1
6420	1
6483	1
6487	1
6517	3
6525	1
6529	1
6540	1
6561	1
6564	2
6585	1
6633	1
6642	2
6654	1
6708	1
6710	1
6756	5
6777	2
6796	1
